,ID1,response,text
151,165009903226851328,positive,governo monti po sbilanciato favor impres andrebb bene impres meritano davvero
152,191628218040717313,negative,populismo nemico democrazia regimi reazionari nati cultura populista grillo fenomeno inquietant
153,186558091406491648,positive,gaviga grazi grazi u u
154,159955093737832448,negative,lettera aperta ali mario monti polemica http t co ejpl ve x me n ali n aie
156,393303033016119296,negative,jabbatm tendono scavalcarsi primeggiar qualsiasi argomento occasion imporsi dialogar
157,191574361784856576,neutral,bella vita ristorant today
158,134967296958533634,negative,ecco sitesi anni lott opposizion mario monti uomo destra voluto bce banch senso dignit
159,154188038535254016,neutral,secondo te governo monti cosa dovrebb fare aumentar sviluppo digital italia http t co cyx xrfw
160,195829430273323008,neutral,marcopannella worldbank pi grillo esprimersi pannella viceversa quindi amnistia sfoltirebb processi civili
161,193388428501585920,neutral,twitter saviano grillo piu influenti italia photostori curiosit ansa it http t co q f cqrp via ansa topnew
164,153442938460966913,neutral,pagel governo monti http t co yfc d via reteconoscenza
165,136001148510420992,negative,mario monti governo vecchio maschil appello voltolina rosina conti tasca http t co foz ekw via blogosfer
166,145934891559825408,positive,governo monti dia segnal discontinuit far quadrar conti senza massacrar economia real http t co batttdw idv
167,165399821321113601,positive,credo governo monti fatto anni fisiologico male fa mesi
168,132361612685361152,positive,marc lazar napolitano europa ammira mario monti pu salvar italia http t co vtyzmlo via addthi
169,393386623142232064,positive,elibuoss ahahahah minor importanza
170,151767844198154240,negative,corruzion costa mld anno pezzo pronti combatterla governo monti cosa vuol fare http t co ksx q x
171,134923052285833216,positive,governo monti unica alternativa possibil credo momento crisi politica vada messa via avanti gov tecnico
172,190231334961164288,positive,jmilanes benne bambino
173,143355656508948480,positive,enzopan nichivendola fa fatica veder solo segnal equit manovra governo monti concordo
174,395547979043454979,positive,ilpost unica proposta cambiamento italia terra libera altri vecchio cloni
175,148524222493360128,positive,nessuno mett dubbio competenza tecnici governo monti problema politico pi mont
176,195827571689144320,neutral,enrico mentana successo possibil grillo effetto causa crisi partiti http t co tjrbsxml
177,160380510441455616,negative,mario monti pi grand capro espiatorio ultimi anni
178,144859793272750080,neutral,inmezzora ministro riccardi sar governo monti fare legg cittadinanza
179,190880636586823680,negative,cacciari grillo politici attualment pi anni parlamento grado fare strategi pirati abituatisi furto
180,190877664658202625,neutral,fmonopoli ancora scritto tweet prova
181,164724158440288256,neutral,sergionedj neve qualsiasi prima nevicata sotto governo monti
182,149221519556485120,negative,napolitano difend governo monti mancherebb fatto
183,396530239398240256,neutral,simi isonmar vabb giorno riusciremo vederli
184,192541336581312512,negative,cani abbaiano grillo servono tentano emerger confusion propositivi ide costrutt
185,141807182709657600,negative,governo monti quota matteoli due braga caso imbarazzant solo governo http t co tv jqni
186,195633180148109312,positive,grillo scappa bertazzoni sembra pi burla girando attorno camper paragonarlo altri troppo http t co reqli k
187,143453517200359424,neutral,riotta frettolosi valenti economisti amici fidati pi indiscrezioni buonsenso mario monti
188,156736186587680768,neutral,leggo news vacanz grati malinconico dimett lascio salvar governo monti roma sottosegreta http t co bv kqg k
191,134935975058096128,negative,legget goldman sach innesca crisi poi piazza mario monti risolverla video claudio messora cadoinpiedi http t co qq olx
192,136779421959991296,positive,flavia marzano mario monti dice parolacc
193,155988487659732992,neutral,politica panebianco corsera durata stabilit governo monti nulla fare question referendum
195,134627857849786369,positive,europa no eurobanca no mario monti nomonti surfilwav tullioapi giorgiaulgiati valesalomo valeria genova
196,192987291357155329,neutral,antipolitica grillo crescer misura inversament proporzional fermezza politica seria sapr riformar stessa
200,193096322604220418,negative,immagino grillo voglia farci uscir euro tornar dracma
201,194466048597172224,negative,chierichietto stuprato parroco divertent quando grillo dice proposito formigoni leparolecontano
202,193037428578197505,negative,grillo chied uscir euro minor danno possibil ok ombrello apriranno dopo penetrazion
203,143595718807003136,neutral,governo monti pi equit pi equitalia
204,192578201225138176,neutral,jailbreak unteth io pi vicino notizia mattina probabilment fatto pa http t co bygnbbti
205,136797140860157953,positive,mario monti nuovo president consiglio professor apprezzato mondo pochi eco http t co wmaz hpn
206,164049116836536320,neutral,mario monti europeo anno politica press http t co s cffye
207,147058579059392512,positive,like youtub video http t co pgzjrbfi cominciano guai governo monti
208,189785042623541248,positive,santotomo ahahahaha seri uccidetevi intanto figa
209,191623786783711232,neutral,swaggie mmmh va bene fr chiamo co es monica m lol
210,191987582836551680,negative,continuar considerar grillo antipolitica erroredrammatico coraggio definirsi forza politica
211,156106882967277568,negative,detto mario monti bisogna vergognarsi esser ricchi chiamar figlio nathan falco poco s eh
212,165110427586531328,negative,caro mario monti bella battuta postofisso fa rider cazzo
213,142900161167892481,positive,cosa trist qualch mese rimpiangeremo governo monti
214,163570712865554432,positive,mercato lavoro auspicabil tutelar persona impossibil riforma welfar senza risors governo monti
216,392018584236752896,positive,carmenkutin cri maria rita ciao cocchin va
217,144049325901754368,neutral,monti manovra salva italia nuovo governo monti finalment esposto dopo giorni d attesa d inc http t co vioqjmq
218,393366574616567808,neutral,vado ciao bimbi
219,193378074254000128,negative,sa fare stasera firenz so link facebook portat pazienza http t co pzhp p
220,144373653549744128,negative,toh governo monti piac pi scorsa settimana successo bilderberg truccato sondaggi http t co ovihzwwp
221,193444944558571520,positive,michellemb dormo poco sopra mediterraneo passion qualcosaltro travolgess bene
223,193628960976928769,negative,grillo attacca euro beh chiaro punta rubar elettori lega strategi politicant antipolitico
224,156691409485824002,neutral,mario monti premier calvinista fa elogio ricchezza elogio ricchi onesti augurio http t co zq urfhn
225,160662441418690560,positive,complimenti coraggio governo monti taxi punto meglio pecor pdl paes ricattato bifolchi
227,164478340881846274,neutral,governo monti lezion precari domani flash mob piazza ge napoli http t co nxeiw ms
228,187871835663241216,positive,cao ah ah fatto tt lol
229,142630795624972289,negative,professor monti pagar sempr soliti adesso pensioni iva equit crescita traccia
230,192977161299296258,neutral,
231,192257115384066048,negative,cate no so facil altrimenti credi ancora qui lavorar farmi portar via
232,143423553130344450,negative,so cattivo ininfluent governo monti composto brutta gent brutti pi malattia bravi eh brutti
233,134345645266968576,neutral,reuter analisi crisi corsa verso governo monti
235,136845970238484481,neutral,bologna mascherati mario monti murano agenzia unicredit protesta oramonti
236,191834814943469569,negative,divertenti fino ieri grillo m s ora fa paura addosso
237,191818944619872256,negative,prossim elezioni andranno votar grillo tanto ormai resta rider pianger politica
239,191884893364568064,negative,olgaspadea guarda legg tweet nn me frega nient troppo stronzo giuro adesso scrivo chat
241,143428286838603776,neutral,mario monti chied sacrifici italiani rilanciar economia http t co atbggmm
242,153947566344650752,negative,juanmjm riforma tant partiti imposto ahahhha governo monti puttan campacavallochelerbacresc
243,194537371360956416,negative,portaaporta plastico senato vespa potrebb giocar ce manca sa punteggio scontato
244,164845681863954432,negative,mario monti matrix posto fisso monotonia http t co ymi blxi canal politica
245,393307859414691840,neutral,omert domandama dato cicca
246,391928596903645185,negative,pap urlando dannato partita qua fianco stordendo
247,187261181289955328,neutral,narnia pi conosciuta cio d
248,393483176993370113,negative,viviamo paes militarizza vall opera nessuno vuol salerno reggio ferma anni serviziopubblico
249,134625656662278145,positive,europa no eurobanca no mario monti nomonti cristianalicata carlotramontano diletta ale dianafabrizi donzelli
251,192691682226085888,negative,complimenti vede grillo salvator paes illusi precaria merda ormai sappiatelo
252,134709369030979584,positive,mario monti rappresenta ultima occasion politica salvar stessa evitar marchio irresponsabilit
254,146886310244777984,negative,rassegnastampa urbino corrier adriatico studenti urbino oggi tornano piazza governo monti
260,143275639812792320,positive,mehditek governo monti pi vecchio d europa storia repubblicana giovani alzano lasciano paes giusto
261,391878265843249153,negative,abbastanza fort
262,393464290428321792,positive,xf primo tweet stasera grambiulino giallo andrea voto te asilosyl
264,395448232798867456,positive,tanti auguri diego anni storia important verranno altri altrettanto esaltanti adl
265,146508245886967808,negative,battiamo solo equit sacrifici manovra utilit entrambi governo monti pesant deficit
266,395646416645009408,negative,vodafon merda scala soldi orco cane coglioni
267,192631499059769345,neutral,adesso nytim m stour grillo m s http t co nd rgi
268,391819425160372224,negative,marilumanzini accomuna numero qualit neuroni
269,145186054415196160,negative,dicembr no debito governo monti http t co ctjnw it
270,391735634790195200,positive,daiiiiiii
271,164107609102757888,neutral,verso nuova cifra comunicativa governo monti ferpi http t co npj q xb via addthi
272,163335442186506240,positive,tg articolo president consiglio mario monti dichiara fiducioso negoziato part salita http t co aaug w j
273,193067747079499777,neutral,cord vocali bepp grillo stessa marca vanna marchi piazzapulita serviziopubblico
274,393332335967367169,neutral,cari utenti facebook scusatemi accetto amicizia so vorrei intasar http t co p ilq
275,161375769354964992,neutral,governo monti nomi numeri sempr utilihttp t co bbbqlzyv
276,195808991794839552,neutral,grillo insist strategia scontro aperto napolitano partiti lunga perd consenso
277,142334307137105920,neutral,intanto mario monti convocato parti sociali domenica prossima
278,393423010419339264,positive,spero tanto ancora prof preferito flavnc
279,137144591844519936,negative,debolezza italia preced crisi mario monti
280,391965196391960576,neutral,calcio juventu barzagli rai so analizzar http t co wq qmg vy news calciomercato news calciomercato
282,152385287094407168,negative,conferenzastampa governo monti inviti coraggio equit sostenibilit tutt cose mangiano hyperfail
284,192982976366247936,neutral,gaetanocicca v bene solito pi tardi
285,395483728195366912,neutral,capatesuspigolo michelecatalano mattino vicedirettor parla copertina barbara fedenon proferito parola
286,195565656035438593,positive,grillo prend culo politici fa bene perch ce nulla serio rispettabil bancharapinapopolo
288,137083494869377024,neutral,mario monti governo pronto oggi vota fiducia senato http t co jfgsbtu
289,391878263192428544,positive,skysport coraggiosa
290,133539046709395456,neutral,italia crisi politica pietro sa mario monti
291,187040359036092416,positive,junycougar prepariamo tornar roma sempr chantaltoma trova nulla adorabil xd
292,160282338222276608,positive,inp card accreditar pension post tutta comodit riform introdott governo monti http t co qmi ukr
293,140433083248812032,negative,bossi governo monti fa schifo pulpito ancora situazion prima bisogna dare tempo cambiar eredit lasciata
294,132054641390264320,neutral,cosa lega mario monti referendum grecia misur austerit impost ue prover spiegarlo http t co uxfdsdot
295,193073343069552640,negative,serviziopubblico grazi renzi grillo arrivato record ascolto trasm politich ultimi tempi ben dialoghi
296,393399050197676032,negative,davvero darren dedicato ani of those thing ditemi no
298,396530228706959360,negative,fiorello ciao rosario dire verit ieri sera amadeu poteva guardar made cina
299,193157052695195651,neutral,tt twitter italia cinemainchiesa serviziopubblico grillo trota levon helm princ of persia damon and elena lega
300,165020572777058306,negative,mario monti munnezz postofisso
301,197038731528646657,positive,ciao tata innamorata italia spagna pari
302,194701495101427712,negative,ilramon grillo sembra soluzion pensa internet libero ragionevol punto programmatico partito
303,393332327062847488,positive,itshoraaan harri style giov rotazionee hahah
304,187315794173116416,negative,davidsassoli fa andar votar gent voglio votar diritto dover voto schifo
305,134583907160031232,positive,magari prima dire s no governo monti aspettiamo veder nuovi ministri fullmonti
306,165500171126448128,negative,vabb rispetto silvio berlusconi nuovo premier mario monti tipo molto freddo adesso esagera
307,142635371962961920,negative,mario monti vespa presentar manovra polemica http t co lxw zbhz notizi politica
308,134235523270184960,positive,governo monti subito serv stabilit finanziaria nuova legg elettoral riform costituzionali
309,162638084373102594,negative,governo monti perch miserament fallito caro castelli coglioni serviziopubblico
310,396641052213645312,negative,larri droga morirei overdos stupid stupid
311,162637803803512832,positive,piaciuto video youtub http t co ikpx q s messaggio mario monti tonino sdentat detto
312,393252063347752960,neutral,royal navi britannica volt pi comandanti navi foreignpolici http t co azt tk xz
313,137206263980363778,positive,governo monti pubblica amministrazion occup qualcuno brunetta stati bravi http t co btkdqdml
314,135407260779286528,positive,verso governo monti tecnico tempo bene co rimontiamo
315,134994571254964226,positive,sondaggio messaggero it lettori dice s governo monti http t co aqbnn jg
316,142542587608317952,neutral,elena ugolini nuova sottosegretaria istruzion governo monti cl ecco co comunion liberazion http t co aajchr
317,391891424741822465,positive,seyna http t co mbi mijixg no male troppo belli
318,395553917310074880,positive,altro messaggi correrei verso casa adesso via vogliosolamentet http t co laeaof iu
319,396545673459286016,positive,coma iniziar buon sabato guardandosi south park film
320,192961163120754689,positive,http t co bbvfjzwjall prossim elezioni coraggio mandarli casa voto bepp grillo movimento stell
321,395430884863909888,negative,th ni schivo ansi mattino scio unica domanda velenosa perch adrianoolivetti fatto fare bepp fiorello
322,146266312644112384,positive,quoquetu governo monti poteva fare meglio spero ancora cmq veder riccardi rossi doria nn prezzo opencampidoglio
323,193780072493223936,positive,inonda grillo stato detonator messo m s riempi vuoto politica creato malapolitica partiti
324,143425264658030592,neutral,bigo odio governo monti voglio studiarmi bene provvedimenti prima dare giudizi robertamilano
325,191497418695639040,negative,grillo sar essenza antipolitica co alto sondaggi bersani bisogn chiedersi perch
326,143421718227206144,negative,qualch volta piov merda qualcuno deve metterci ombrello chiamerai mario monti
327,147317461849608192,positive,marcegaglia manovra sviluppo basta emma marcegaglia manovra mario monti roma dic http t co njpkecrj
328,147082418766094336,neutral,matrix forattini trist perch governo monti adesso ispira oceano sconosciuto ricorda fanfani andreotti
329,193057264821731328,positive,bravo grillo nient dire fine dice sempr cose sbaglio grillo serviziopubblico
330,193076120244076546,negative,grillo alternativa tenevo bossi fa rider pi
331,137144594977652736,positive,pi grand bella novit governo monti http t co nxfznj z
333,391824575215833088,neutral,catanzaro operazion perseo fine mese verdetto fine mese scadranno termini processuali relativ http t co nqetbxw aa
334,143709733696704512,neutral,imazzoli manovra governo monti doveva essr pi equa http t co jdza cj
335,393389089170657280,positive,pellegiornal grazi cittadini istituzioni dipendenti ogni giorno lavorano migliorar servizi provinc
336,396433495754825729,negative,amano trann me ovviament resto sola acida apatica sapevatelo
337,157131427144675328,negative,fisco abuso diritto quando risparmio d imposta diventa vantaggio fiscal indebito governo monti http t co p spuh
339,147277107733598209,negative,lega nord organizza manifestazion governo monti piazza duomo milano partenza ore piazza castello
340,135039090667175937,positive,governo allen sinai monti eccellent priorita tagliar spesa roma nov adnkrono mario monti sare http t co ab kqfsv
341,192546250720161792,neutral,rodighiero grillo autodenuncia incandidabil due motivi perch pregiudicato perch pi anni adesso sai
342,396563775983476736,negative,sbagliato davvero cosi tanto meritar
343,187941685135806464,negative,sarajevo uccid citt http t co eookhrq
344,137518891743182848,neutral,maurizio landini parla crisi mezz ora ieri sera programma governo monti http t co nyq wcxu
345,161720569862168576,neutral,mario monti barack obama vedranno prima volta febbraio casa bianca http t co w acgvj
347,160692762310750209,positive,sostegno governo monti senza senza senza rinunciar ide bersani
350,137513291420413952,positive,governo monti crisi interna fiducia estera http t co qkri w y
351,192901845885272065,neutral,grillo torna ribalta parla oggi tocquevil it bepp grillo mov stell http t co h m vy tqv
352,393460487884505088,positive,doppelgang oddio vedo ora arrivi dicembr disparato bisogno soffocati coccol amo piccola
353,162996872640868353,negative,lenta agonia pdl sotto colpi governo monti http t co suw ty g via linkiesta
354,142470290398650368,neutral,cgil domani riunisc roma delegati cosa dobbiamo dirgli professor monti
355,153810611434823681,neutral,comunicazion elitaria mario monti http t co bdejfufb via giovannacosenza
356,136008108160991232,negative,molta fiducia nuovo governo monti pi meno stessa ripongo madr tenta inviar email
357,137130060158210048,negative,parla democrazia sospesa analfabeta costituzion governo monti
358,395504739255091200,positive,felicit prezzo s costa circa chiama nutella nonpuoimancar
359,192545570949308416,negative,attenzion xch grillo furbo attenua po giustizialismo x cavalcar question fiscal dolori bluffitalia
360,193971072394211328,neutral,crema grillo critica ecco video http t co tjjib fy
362,193060603693236224,neutral,mcw matteo sola domanda sincera pretestuosa paga grillo tour italia piazzapulita
364,134946044822818816,negative,mario monti messia accolto senato lungo applauso mario monti messia italiano stato accolto http t co lktule s
365,395671935990136832,positive,perriesngdr prend mani oddio perri sai felic stend letto chiud occhi sorrid
366,194786033336991744,neutral,maggio anzik festa lavoratori propongo festa disoccupati ditelavostra grillo italia tanto nn ness ke lavora
367,135339838294589440,negative,governo monti gianni letta pd perplesso vogliono esager senn mettiamo matteorenzi
368,396709909087391744,positive,louispllgdr naturalment uu ride
369,391946153589506049,positive,finalment felicit assoluta d http t co ugboowzaz
370,135386394792173568,negative,rainew pausa albergo senator vita mario monti dopo colazion lavoro berlusconi pranzo pesant finecorsa
371,189086369497354241,neutral,xforeveryoung sicura momento poi useranno xd
373,194918532591517696,positive,portaaporta vespa fatto pura propaganda grillo quasi convinta dare voto alternativo discontinuit
374,134626356658044930,positive,europa no eurobanca no mario monti nomonti gtravagliati gianluigiverta giovan italia ilpdl lucab luccavalier
375,134445713991012353,neutral,lettera premier mario monti corrier sera inviato ipad http t co koeffr
376,192597752281182209,neutral,ragazza bisogno dirti apertament sent scritto occhi
377,393468289248415744,positive,jesu porta amor gaga grazi mill
378,150995372796416000,neutral,denunciato mario monti alto tradimento http t co qld ktk
379,161738895950757891,negative,adesso tocca sentir blocco tir complotto governo monti tosta italiablocatta
380,393253611423416320,positive,bu sa profumo fanchio metto co tanto ragazzino piccolino profumo profumo addosso hahaha
381,191807331963645952,neutral,difiniantonio finito fare fila
382,159307626025467904,positive,governo monti vede van rompuy italia va giusta direzion http t co cu n yeh
383,196360172296347649,negative,paolo sciamm so xk stato dopo sanremo d cmq s x colpa ammetto trovati letto nn retto colpo u u
384,134334925934571520,positive,governo monti senza pietro lega insperato bingo povero paes
385,393296541743853568,positive,mex kaka top terza giornata championsleagu forzamilan
386,393284926407454720,positive,film stream netflix battono canali via cavo http t co kympatko p http t co ivynpryfj gzagato
387,195815994390884352,negative,bisogno grillo sana democrazia italia
